0,0,2
1,0,5
0,1,6
2,0,8
1,1,11
3,0,11
2,1,12
6,0,12
3,1,13
0,3,14
4,0,14
5,0,17
0,4,18
4,1,18
3,2,19
2,3,20
0,5,20
4,2,22
3,3,23
7,0,23
2,4,24
8,0,26
7,1,27
2,5,28
6,2,28
1,6,29
5,3,29
9,0,29
4,4,30
6,3,30
5,5,30
3,5,31
2,6,32
10,0,32
1,7,33
9,1,33
0,8,34
4,5,34
3,7,39
7,4,39
2,8,40
6,5,40
10,2,40
1,9,41
5,6,41
4,7,42
8,4,42
3,8,43
2,9,44
10,3,45
5,7,45
9,4,45
8,5,46
6,7,48
10,4,48
5,8,49
9,5,49
8,6,50
4,10,54
8,7,54
6,9,56
10,6,56
5,10,57
9,7,57
8,8,58
7,9,59
10,7,60
9,8,61
8,9,62
9,9,65
8,10,66
10,9,68
9,10,69
10,10,72
